년월,여객/화물,공항코드,공항명,상대공항코드,상대공항명,항공사,운항 출발,운항 도착,여객 출발,여객 도착,무임 출발,무임 도착,환승 출발,환승 도착,화물 출발,화물 도착,수하물 출발,수하물 도착,우편 출발,우편 도착,공급 출발,공급 도착,2LETTER,CARRIER,ROUTE,REGION,(총)출발 여객+환승
Jan-23,여객기,CJJ,청주,CJU,제주,AAR,58,58,"8,660","8,262",80,62,0,0,0,0,"42,603","45,823",0,0,"10,836","10,836",OZ,OZ,CJJ/CJU,DOM,"8,660"
Jan-23,여객기,CJJ,청주,CJU,제주,EOK,90,90,"15,600","15,484",118,142,0,0,0,0,"86,509","102,987",0,0,"16,200","16,200",RF,LCC,CJJ/CJU,DOM,"15,600"
Jan-23,여객기,CJJ,청주,CJU,제주,JJA,121,121,"21,367","21,248",152,130,0,0,0,0,"99,792","116,905",0,0,"22,869","22,869",7C,LCC,CJJ/CJU,DOM,"21,367"
Jan-23,여객기,CJJ,청주,CJU,제주,JNA,179,180,"33,302","33,056",238,268,0,0,0,0,"169,838","189,457",0,0,"34,180","34,368",LJ,LCC,CJJ/CJU,DOM,"33,302"
Jan-23,여객기,CJJ,청주,CJU,제주,KAL,87,87,"12,599","12,207",97,95,0,0,0,0,"67,089","73,749",0,0,"14,724","14,724",KE,KE,CJJ/CJU,DOM,"12,599"
Jan-23,여객기,CJJ,청주,CJU,제주,TWB,193,193,"33,680","33,925",279,266,0,0,73,0,"167,266","191,772",0,0,"36,477","36,477",TW,LCC,CJJ/CJU,DOM,"33,680"
Jan-23,여객기,CJU,제주,CJJ,청주,AAR,58,58,"8,262","8,660",62,80,0,0,0,0,"45,823","42,603",0,0,"10,836","10,836",OZ,OZ,CJJ/CJU,DOM,"8,262"
Jan-23,여객기,CJU,제주,CJJ,청주,EOK,90,90,"15,484","15,600",142,118,0,0,0,0,"102,987","86,509",0,0,"16,200","16,200",RF,LCC,CJJ/CJU,DOM,"15,484"
Jan-23,여객기,CJU,제주,CJJ,청주,JJA,121,121,"21,248","21,367",130,152,0,0,0,0,"116,905","99,792",0,0,"22,869","22,869",7C,LCC,CJJ/CJU,DOM,"21,248"
Jan-23,여객기,CJU,제주,CJJ,청주,JNA,180,179,"33,056","33,302",268,238,0,0,0,0,"189,457","169,838",0,0,"34,368","34,180",LJ,LCC,CJJ/CJU,DOM,"33,056"
Jan-23,여객기,CJU,제주,CJJ,청주,KAL,87,87,"12,207","12,599",95,97,0,0,0,0,"73,749","67,089",0,0,"14,724","14,724",KE,KE,CJJ/CJU,DOM,"12,207"
Jan-23,여객기,CJU,제주,CJJ,청주,TWB,193,193,"33,925","33,680",266,279,0,0,0,73,"191,772","167,266",0,0,"36,477","36,477",TW,LCC,CJJ/CJU,DOM,"33,925"
Jan-23,여객기,CJU,제주,GMP,김포,AAR,911,904,"157,551","150,563","1,193","1,175",0,0,"1,291,295","566,921","855,138","726,233",0,0,"183,936","181,421",OZ,OZ,GMP/CJU,DOM,"157,551"
Jan-23,여객기,CJU,제주,GMP,김포,ABL,303,302,"57,455","56,733",341,308,0,0,"97,156","3,018","273,941","249,627",0,0,"61,254","61,142",BX,LCC,GMP/CJU,DOM,"57,455"
Jan-23,여객기,CJU,제주,GMP,김포,ASV,161,162,"34,101","34,071",173,173,0,0,0,0,"147,874","134,843",0,0,"35,420","35,640",RS,LCC,GMP/CJU,DOM,"34,101"
Jan-23,여객기,CJU,제주,GMP,김포,JJA,635,635,"116,349","116,999",636,613,0,0,"13,040",0,"561,001","492,278",0,0,"120,015","120,015",7C,LCC,GMP/CJU,DOM,"116,349"
